df1.product,df1.route,df1.tons,df1.usd
1,1,44.045,19733
1,2,54,11160
1,2,0.2,181
1,1,3.488,3250
1,2,27,7270
1,2,40,11496
1,1,6300,44004
1,1,2625,30952
1,2,27,6798
1,1,170000,93819
1,2,258.3,33160
1,1,70,21837
1,2,8,2610
1,2,189,20525
1,3,0.34,3691
1,2,26.38,11500
1,4,1.022,1560
1,2,2000,22918
1,1,301.52,17123
2,1,419.07,20258
2,1,5000,51822
2,1,140.672,11441
2,1,15000,70561
2,1,14000,69659
2,1,5000,51626
2,1,10875.5,64356
2,1,14926.385,70269
2,1,1500,33955
2,1,2159,38770
2,1,2000,36755
2,1,300,17122
2,1,2949.17,45526
2,1,25971.047,80159
2,1,11796.328,66718
2,1,12586.772,66868
2,1,6323,56875
2,1,2093.164,38811
2,1,5430.274,37731
2,1,88292.244,95254
2,1,16938.53,74746
2,2,2500,39565
2,1,23484.528,79832
2,1,333.171,17135
2,1,821.413,25814
2,2,3,1389
2,1,26483.179,81528
2,1,31000,83078
2,1,4,1471
2,1,18567.31,73730
2,1,19080,74418
2,1,26250,81070
2,1,11200,66057
2,1,32200.83,83658
2,1,21595,78238
2,2,2300,37929
2,1,25710.473,81318
2,1,10000,62462
3,4,48.053,12209
3,1,6000,64955
3,1,7140,68732
3,1,3000,53425
3,1,5430,64461
3,1,8095,70929
3,1,500,29530
3,1,3000,54392
3,1,5700,64379
3,2,82.9,15454
3,4,279.919,26253
3,1,8930,72421
3,1,20250,86206
3,1,4600,60163
3,1,4000,61413
3,2,2657.46,51255
4,1,13730,70172
4,4,100,14643
4,2,200,18932
5,3,1000,30314
5,1,12400,68301
5,1,3560,46883
5,1,9040,63629
5,1,28000,82916
5,1,28000,83564
5,1,7000,57613
5,3,600,24506
5,1,860,28154
5,1,12500,68826
5,1,5000,51881
5,1,9000,62011
5,4,0.013,69
5,4,0.845,1162
5,1,11870,67341
5,2,20.7,3971
5,1,500,22365
5,1,258,16188
5,1,64.5,7749
5,1,129,10839
5,1,8000,58825
5,4,0.237,795
5,1,105,10578
5,2,75,9377
1,1,63,12103
1,1,60,11245
